,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
FNGR,6.72,248.84,217.62,31.22,13%,206.19,308.98,12,227.47,40,193.63,131,181.79,222,-3.30185,0.0101,-2.33148,0.1678,217.18,193.14,156.98,153.4,145.79,224.11,237.27,170.75,166.04,159.28
AMC,4.39,198.86,170,28.86,15%,152.59,163.23,12,189.16,40,165.57,68,121.83,159,1.16511,0.143,-0.83691,0.2473,47.66,51.95,44.48,93.65,105.81,59.41,56.35,58.77,99.62,112.08
EOSE,4.65,185.48,163.79,21.69,12%,150.93,170.57,12,167.1,40,153.77,68,146.76,131,-0.25741,0.0529,0.64696,0.0855,129.56,113.19,114.44,125.79,126.94,150.03,145.24,135.31,143.37,140.46
SOUN,3.53,153.6,133.26,20.34,13%,131.56,120.05,12,133.28,40,134.75,68,130.06,103,-1.988,0.0032,-1.46786,0.0821,117.51,133.88,110.93,174.47,163.05,135.91,147.69,129.26,184.04,168.83
AAOI,9.75,147.13,127.42,19.71,13%,117.59,163.39,12,141.35,40,123.34,68,103.96,159,-1.34219,0.1021,-0.55596,0.0547,113.67,146.74,121.93,110.7,109.32,179.61,187.81,133.18,116.61,108.59
MRVI,12.19,73.88,55.41,18.47,25%,54.91,108.52,12,61.57,40,53.61,68,58,159,0,0,0.02436,0,15.02,47.81,65.74,56.98,57.61,39.51,53.08,83.47,70.04,69.34
CVNA,35.57,163.83,145.97,17.86,11%,139.96,162.04,12,153.78,40,133.36,131,123,194,-0.1845,0.0153,2.0945,0.0704,157.01,152.53,189.31,173.38,179.24,170.9,167.65,178.56,177.44,177.37
SNAP,12.74,89.57,72.77,16.8,19%,67.31,55.85,12,81.88,40,70.15,68,65.98,103,-0.85931,0.0904,0.36711,0.0883,41.81,39.02,57.2,61.84,80.21,49.18,50.47,54.83,64.9,77.51
SILK,32.65,85.47,69.13,16.34,19%,60.19,109.76,12,76.84,40,57.04,103,55.69,159,1.8681,0.0769,2.30181,0.0892,36.06,38.05,50.33,46.89,50.95,45.88,49.35,54.69,53.98,58.54
MRSN,3.71,185.82,169.8,16.02,9%,145.21,171.22,12,191.01,40,136.55,103,125.14,131,-0.22097,0.0016,1.23625,0.0419,77.41,221.29,173.07,131.39,108.34,91.41,220.42,155.83,121.96,105.35
LYFT,11.55,97.09,83.11,13.98,14%,76.11,67.87,12,91.23,40,73.64,103,69.41,194,-2.20837,0.0996,0.53357,0.0696,80.96,68.26,66.64,82.58,82.03,82.93,70.42,67.54,79.16,78.45
DAKT,6.11,92.68,78.75,13.93,15%,72.05,107.49,12,87.41,40,76.22,68,70.09,103,0.61002,0.0003,1.75184,0.1332,29.38,51.19,45.25,49.25,69.44,38.42,55.27,54.26,58.55,83.21
OPEN,4.45,126.69,114.42,12.27,10%,109.25,112.07,12,119.77,40,103.57,131,97.18,194,-0.04062,0.0786,-0.22412,0.1145,118.65,102.4,119.05,122.59,117.11,128.65,121.73,128.77,133.98,127.62
BBIO,17.81,192.37,180.13,12.24,6%,157.41,171.2,12,199.9,40,174.35,68,132.48,131,5.63793,0.0147,4.30836,0.0782,66.16,73.45,64.58,105.39,101.63,73.46,75.53,71.18,93.54,99.37
KODK,6.17,75.16,63.37,11.79,16%,59.81,99.67,12,66.45,40,58.55,103,59.93,194,0.05738,0,0.56086,0,68.65,70.97,53.94,55.85,58.89,82.63,68.98,57.69,60.58,62.96
NWG,6.11,89.36,77.91,11.45,13%,68.14,97.88,12,86.33,40,57.39,131,90.14,222,0,0,0,0,27.73,33.53,30.85,31.22,36.96,20.69,24.22,23.34,24.35,29.36
ILPT,3.8,108.23,96.79,11.44,11%,84.35,110.27,12,107.51,40,79.98,103,76.16,194,0.00116,0,0.86574,0,113.54,131.5,97.63,85.26,79.15,123.7,138.52,105.3,94.13,84.77
HYLB,34.26,31.69,20.59,11.1,35%,17.93,41.31,12,28.27,40,18.34,68,16.96,159,0,0,0,0,6.69,5.58,5.99,7.88,10.54,6.24,5.5,5.93,7.85,10.1
RDFN,15.54,98.12,87.75,10.37,11%,84.65,97.15,12,94.5,40,81.24,131,77.78,194,-0.0877,0.0441,0.94248,0.0664,154.83,118.58,114.09,108.55,99.95,138.03,108.7,102.52,107.91,103.18
WULF,3.41,156.76,146.42,10.34,7%,140.92,172.56,12,151.15,40,134.88,131,127.27,222,2.01177,0.0001,1.525,0.0473,108.22,114.21,98.29,119.51,139.63,159.97,143.86,119.9,135.18,154.61
FPE,16.03,43.32,33.06,10.26,24%,27.96,59.8,12,37.46,40,22.34,131,27.61,222,0,0,0,0,6.14,5.23,7.02,13.06,11.01,6.33,5.81,7.01,11.53,10
ROKU,75.43,76.59,66.58,10.01,13%,62.78,66.03,12,72.05,40,65.04,68,61.72,103,-0.04708,0.05,1.32977,0.0601,72.82,62.84,54.69,63.57,69.49,74.53,63.23,59.73,68.33,74.65
QS,9.87,99.59,89.88,9.71,10%,86.74,83.83,12,94.69,40,88.34,68,85.98,103,-2.07698,0.1387,-0.84868,0.1336,38.62,73.5,69.66,87.1,81.5,83.52,86.15,75.08,91.18,87.39
SAN,3.67,29.44,19.78,9.66,33%,21.86,47.88,12,22.89,40,18.87,68,28.92,159,5.06626,0.087,7.89514,0.1386,37.17,31.39,32.66,36,37.17,28.81,24.1,25.24,28.41,30.04
UGP,3.91,89.48,80.18,9.3,10%,62.57,72.88,12,95.37,40,43.19,131,45.64,222,0,0,0,0,50.31,39.92,42.22,40.46,48.37,42.03,34.89,38.22,40.4,46.14
ENPH,173.78,68.35,59.06,9.29,14%,55.72,48.29,12,64.17,40,57.7,68,54.79,103,0.65573,0.0619,1.7749,0.0638,44.96,42.71,66.11,60.84,60.95,49.63,50.05,60.95,62.07,64.85
BTAI,10.56,152.84,143.7,9.14,6%,134.73,156.8,12,151.44,40,124.86,131,119.72,222,-1.83549,0.1251,-0.62274,0.0539,398.58,285.68,182.53,140.1,109.3,394.67,284.83,189.99,146.74,117.69
NNDM,3.11,57.04,47.96,9.08,16%,45.85,58.61,12,44.07,40,43.53,131,48.18,194,-1.37223,0.0002,0.44895,0.0352,68.34,65.16,45.31,55.1,51.34,76.01,64.7,48.68,57.77,56.86
ACHR,4.48,118.65,109.67,8.98,8%,103.16,128.12,12,115.28,40,100.87,103,96.91,194,-0.09717,0.0006,-0.13779,0.0516,121.57,131.76,106.22,92.07,81.32,147.22,135.82,111.12,97.41,89.28
PINS,28.62,55.91,46.98,8.93,16%,46.07,35.87,12,51.44,40,46.05,68,46.1,131,0.33822,0.0706,1.87616,0.0805,41.47,36.5,46.43,44.67,57.73,41.88,40.39,45.43,45.69,54.9
COIN,89.15,101.15,92.26,8.89,9%,88.78,93.96,12,98.87,40,90.61,68,84.43,159,-1.20344,0.0835,1.68877,0.0868,83.02,70.01,83.56,101.05,103.66,98.54,86.23,85.83,104.56,108.98
HOOD,11.83,76.36,67.48,8.88,12%,64.14,58.14,12,72.69,40,65.73,68,61.8,131,-3.41529,0.142,-1.74047,0.1473,47.51,42.78,43.53,44.54,55.88,60.54,51.6,47.98,51.09,63.37
SOFI,9.07,80.66,71.91,8.75,11%,68.54,66.18,12,76.93,40,67.36,103,65.69,159,-0.31688,0.0556,1.00039,0.0719,61.19,73.64,76.54,67.65,70.76,72.37,79.26,79.76,72.26,72.68
CLSK,6.42,123.7,115.1,8.6,7%,111.24,115.1,12,126.76,40,111.69,68,110.17,159,-1.29811,0.187,1.2075,0.0709,84.14,91.14,102.01,104.52,101.24,119.26,113.45,115.43,113.44,108.52
FSR,6.74,120.86,112.35,8.51,7%,109.98,98.53,12,112.49,40,107.37,131,103.48,194,-2.6083,0.1074,0.55413,0.1337,86.81,87.4,95.9,95.85,77.23,100.85,89.86,98.13,94.85,82.07
META,298.29,50.51,42,8.51,17%,39.16,34.9,12,46.54,40,40.84,68,38.37,103,0.43598,0.0485,1.94154,0.0687,24.34,26.25,35.89,48.62,56,30.23,32.53,32.89,40.57,47.52
W,68,91,82.55,8.45,9%,80.03,72.97,12,86.67,40,77.26,131,73.17,194,-0.24571,0.0448,0.53559,0.0998,89.4,67.01,77.19,99.03,99.84,83.51,72.12,79.98,96.98,101.67
