date,stockpx,iv30,iv60,iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
2023-06-26,26.67,71.95,85.58,78.42,71.14,27.0,87.57,55.0,79.03,83.0,73.25,174.0,3.0249,0.0778,3.12857,0.0563,49.81,66.37,108.99,77.77,54.88,67.12,84.2,107.94,76.88,54.64
2023-06-23,27.43,72.6,90.13,82.96,72.25,30.0,91.01,58.0,83.48,86.0,75.51,177.0,3.36346,0.0836,3.99832,0.1301,48.47,83.8,108.95,77.71,54.85,65.99,98.72,107.72,76.73,54.6
2023-06-22,26.86,78.15,92.33,80.87,78.15,31.0,93.28,59.0,81.17,87.0,75.48,178.0,2.37894,0.1095,3.77308,0.0838,49.2,96.92,108.84,77.64,54.81,68.67,108.05,107.6,76.64,54.57
2023-06-21,27.33,78.84,89.28,84.34,79.07,32.0,89.46,60.0,84.74,88.0,74.74,179.0,2.84735,0.0721,3.67666,0.0827,76.17,97.63,108.88,77.61,54.8,86.68,109.22,107.54,76.58,54.6
2023-06-20,28.4,79.23,92.62,82.69,79.46,33.0,92.62,61.0,82.95,89.0,73.23,180.0,2.95616,0.0822,3.46343,0.1421,72.42,103.96,108.7,77.46,54.69,88.03,115.64,107.24,76.38,54.48
2023-06-16,27.94,82.79,91.12,86.93,87.1,2.0,84.06,37.0,92.41,65.0,86.55,93.0,3.19803,0.0934,2.9832,0.0459,72.7,103.74,108.6,77.42,54.71,87.9,115.36,106.93,76.16,54.38
2023-06-15,28.62,80.44,89.49,84.77,87.69,3.0,79.91,38.0,92.06,66.0,83.96,94.0,2.89952,0.0858,4.03122,0.0493,68.58,103.55,108.54,77.36,54.66,85.25,114.16,106.48,75.84,54.17
2023-06-14,29.28,83.2,90.24,87.16,96.74,4.0,81.33,39.0,92.61,67.0,86.32,95.0,3.18206,0.1001,3.79446,0.0246,70.83,103.51,108.51,77.32,54.64,89.85,113.61,106.22,75.67,54.07
2023-06-13,30.55,80.61,87.91,87.37,87.79,5.0,79.32,40.0,91.07,68.0,86.64,96.0,2.7548,0.0894,3.82326,0.044,62.02,102.54,108.26,77.11,54.52,83.51,110.74,105.1,74.88,53.57
2023-06-12,29.34,87.5,92.41,90.23,95.23,6.0,85.14,41.0,96.42,69.0,88.68,97.0,2.92648,0.0742,3.41327,0.012,66.69,102.07,107.84,76.85,54.36,92.21,111.76,104.86,74.7,53.46
2023-06-09,27.99,84.41,94.62,92.85,93.97,9.0,90.83,44.0,98.94,72.0,90.19,100.0,2.38337,0.1663,3.9704,0.0878,68.39,109.26,107.41,76.5,54.14,98.35,114.6,104.6,74.47,53.32
2023-06-08,27.77,95.34,95.81,93.66,102.29,10.0,93.84,45.0,99.96,73.0,90.44,101.0,2.51913,0.0755,3.47735,0.0509,106.24,109.37,107.38,76.49,54.15,123.04,115.42,104.49,74.4,53.3
2023-06-07,27.04,99.38,98.94,96.53,106.14,11.0,95.67,46.0,101.45,74.0,93.6,102.0,3.16847,0.0297,3.98209,0.059,127.93,120.28,107.16,76.36,54.08,136.51,125.4,104.07,74.11,53.11
2023-06-06,24.03,99.95,100.76,99.06,103.54,12.0,97.41,47.0,103.74,75.0,95.82,103.0,2.7365,0.036,3.71054,0.0275,110.41,111.24,103.63,74.04,52.58,127.85,120.27,101.72,72.46,52.01
2023-06-05,22.91,104.19,104.02,102.02,109.11,13.0,100.08,48.0,108.06,76.0,97.18,104.0,2.30455,0.0351,3.02828,0.0126,112.92,109.01,102.94,73.65,52.33,137.82,120.85,101.29,72.1,51.78
2023-06-02,22.06,103.7,99.31,101.46,107.59,16.0,96.26,51.0,104.2,79.0,98.08,107.0,2.50983,0.0671,2.41579,0.0092,107.39,146.64,102.45,73.38,52.18,137.45,136.83,101.03,71.88,51.64
2023-06-01,21.81,109.24,102.84,104.71,118.79,17.0,99.79,52.0,108.62,80.0,99.12,108.0,2.47186,0.0478,3.31818,0.0287,106.29,148.27,102.35,73.35,52.16,137.11,142.12,100.94,71.81,51.61
2023-05-31,22.57,119.58,106.17,108.93,131.2,18.0,103.23,53.0,112.75,81.0,102.54,109.0,3.26403,0.0647,3.56242,0.0505,109.06,160.82,102.26,73.24,52.08,133.19,155.01,99.99,71.15,51.19
2023-05-30,22.38,131.25,110.63,109.27,144.56,19.0,110.46,54.0,111.08,82.0,105.74,110.0,3.50934,0.0426,3.30994,0.0712,108.54,171.79,102.24,73.22,52.09,132.49,171.48,99.72,70.96,51.08
2023-05-26,20.65,155.63,122.7,118.0,163.28,23.0,123.04,58.0,120.16,86.0,108.77,114.0,3.3973,0.0432,3.75545,0.0244,89.31,166.94,100.39,72.08,51.37,128.37,168.8,98.16,69.86,50.36
2023-05-25,20.63,148.46,122.32,117.12,159.92,24.0,122.69,59.0,118.04,87.0,111.98,115.0,0.30861,0.3142,1.62431,0.1503,117.63,166.91,100.39,72.07,51.37,128.82,166.45,96.8,68.91,49.73
2023-05-24,23.94,128.82,103.22,97.14,135.48,25.0,103.45,60.0,97.7,88.0,92.82,116.0,6.39683,0.0635,4.81413,0.0503,103.74,162.92,96.97,69.44,49.53,107.27,157.83,91.85,65.43,47.46
2023-05-23,27.64,92.96,78.37,86.86,96.03,26.0,78.37,61.0,87.72,89.0,76.41,117.0,5.31304,0.0941,3.33279,0.0595,108.76,158.47,93.55,66.88,47.77,113.21,151.34,88.12,62.84,45.79
2023-05-22,28.71,95.91,78.53,81.79,98.81,27.0,78.03,62.0,82.08,90.0,74.44,118.0,5.42431,0.1745,4.49403,0.1682,112.07,158.48,93.35,66.69,47.66,112.18,150.32,87.55,62.44,45.59
2023-05-19,32.22,61.89,60.88,65.75,88.79,2.0,61.93,30.0,60.77,65.0,66.11,93.0,4.42095,0.1735,4.2352,0.0922,101.96,155.57,90.97,64.89,46.46,101.06,144.83,84.37,60.22,44.18
2023-05-18,34.7,64.83,64.77,68.82,94.9,3.0,64.83,31.0,64.76,66.0,69.27,94.0,1.21355,0.1522,2.98032,0.0458,166.04,155.59,90.96,64.88,46.47,136.21,144.38,84.1,60.04,44.09
