,date,stockpx,iv30,iv60,diff 30vs60,iv90,diff 30vs90,m1atmiv,m1dtex,m2atmiv,m2dtex,diff,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
ELMSQ,03/07/2023,0.07,956.52,0,956.52,0,956.52,956.52,202,0,1,956.52,0,1,0,1,0,0,0,0,5.78,5.52,312.61,316.48,239.8,462.6,436.77,713.38,551.32,393.91
RNO,27/11/2015,0.49,1274.97,439.47,835.5,403.93,871.04,1400.8,-1,1400.8,22,0,409.85,85,302.03,176,20,0.08,3,0.08,189.3,146.98,118.25,118.81,95.59,344.07,298.2,267.35,258.68,199.45
ADTX,03/07/2023,0.45,601.08,0,601.08,0,601.08,601.08,202,0,1,601.08,0,1,0,1,0,0,0,0,88.99,70.76,91.9,78.49,208.45,107.14,85.33,138.63,116.18,307.78
EAST,03/07/2023,3.2,573.9,0,573.9,628.75,-54.85,573.9,76,854.19,167,-280.29,0,1,0,1,0,0,0,0,68.61,318.05,207.78,182.85,140.36,103.73,265.3,199.42,187.81,160.67
GOCO,03/07/2023,19.44,562.65,0,562.65,0,562.65,562.65,202,0,1,562.65,0,1,0,1,0,0,0,0,29.26,28.36,118.93,111.22,121.82,68.09,67.79,123.95,117.79,131.3
VIA,03/07/2023,7.29,551.99,0,551.99,0,551.99,551.99,76,0,1,551.99,0,1,0,1,0,0,0,0,95.12,84.72,91.11,88,69,120.58,99.94,100.45,94.01,74.41
OPXT,23/07/2012,0.95,1075.59,542.09,533.5,487.18,588.41,1144.66,26,540.26,61,604.4,373.71,152,312.05,236,20,0,20,0,48.26,57.17,64.81,83.08,82.63,35.88,49.78,66.23,64.53,70.35
IGOI,29/06/2012,0.46,1183.09,753.51,429.58,666.22,516.87,1256.15,-8,1256.15,22,0,680.77,85,415.98,176,20,0.08,20,0.08,66.15,67.04,72.52,114.2,102.34,0.1,30.68,47.93,74.36,87.38
RZTI,02/11/2010,0.24,587.89,228.02,359.87,209.21,378.68,840.76,18,250.74,46,590.02,214.85,81,162.17,165,-2,0.4,-2,0.01,172.85,140.3,125.89,110.07,93.31,0.1,89.44,169.69,188.37,141.82
IKGH,24/10/2016,0.28,926.55,574.87,351.68,503.34,423.21,955.08,3,955.08,26,0,505.72,89,288.72,180,20,0.08,3,0.08,123.11,116.75,121.07,104.45,93.47,78.69,263.89,332.82,278.87,241.96
