name,date,stockpx,iv30,iv60,diff,iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
ELMSQ,10/07/2023,0.06,894.81,0,894.81,0,894.81,195,0,1,0,1,0,1,0,0,0,0,6.62,5.22,306.26,315.82,239.66,442.21,443.53,719.99,556.2,397.4
GOCO,10/07/2023,19.36,676.67,0,676.67,0,676.67,195,0,1,0,1,0,1,0,0,0,0,34.38,31.45,117.9,111.19,120.01,77.41,67.99,123.83,117.55,129.17
AAAP,09/02/2018,81.63,27.05,12.2,,7.8,35.83,9,25.32,37,7.1,72,9.94,163,0.0515098,0,5.45678,0,11.26,8.41,5.05,26.8,26.8,12.74,9.55,5.83,24.82,24.82
AABA,02/10/2019,19.63,42.41,24.44,,25.16,12.94,18,21.8,46,27.48,81,21.29,109,0,0,0,0,345.79,251.14,147.4,106.85,77.38,388.8,274.94,158.86,114.08,82.04
EAST,10/07/2023,3.44,634.06,0,634.06,454.06,634.06,69,1,160,0,1,0,1,0,0,0,0,41.97,316.19,206.89,182.94,140.43,82.82,264.85,198.45,187.53,160.69
AACC,30/04/2013,6.47,251.59,222.18,,193.98,263.35,18,174.15,109,79.17,200,70.46,200,5.333,0.08,5.333,0.08,1.9,9.23,36.67,52.84,49.03,20.59,16.85,36.76,60.64,58.07
AACQ,24/06/2021,9.99,75.01,71.16,,69.89,76.21,24,71.25,59,67.9,150,63.4,241,-3.85932,0,-2.75746,0.0002,30.22,21.41,14.98,26.91,26.91,54.33,38.53,24.8,36.37,36.37
SMMT,10/07/2023,2.15,334.14,109.08,225.06,111.11,133.85,13,102.06,41,111.88,104,108.98,195,-0.27427,0,-3.81465,0,54.91,101.27,112.88,115.71,238.88,91.79,121.55,122.32,133.15,173.56
AAI,02/05/2011,7.45,34.57,13.42,,13.36,44.79,19,18.77,47,13.39,75,13.22,173,8.8,0.08,8.8,0.08,10.12,9.01,8.39,7.45,53.63,9.5,8.4,9.29,8.45,38.07
FRCB,10/07/2023,0.67,429.94,409.24,20.7,322.41,310.68,13,480.14,41,224.71,132,245.3,160,-0.00277,0,-3.42839,0,404.75,339.57,285.63,249.32,175.14,333.53,294.48,278.22,271.33,189.68
